epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,36559.2,1.28136,0.74535,1.06301,0.83456,0.74431,0.82579,0.41324,1.73526,0.91305,1.3251,0.00595514,0.00595514,0.00595514
145,36781.6,1.30139,0.75779,1.07279,0.81957,0.74983,0.82032,0.41624,1.72523,0.92295,1.32629,0.00592686,0.00592686,0.00592686
146,37014.8,1.29005,0.76096,1.07066,0.81686,0.75726,0.81541,0.41195,1.72995,0.92286,1.32177,0.00589857,0.00589857,0.00589857
147,37226.6,1.29786,0.75624,1.06918,0.8217,0.74396,0.8169,0.41218,1.73072,0.93886,1.32006,0.00587029,0.00587029,0.00587029
148,37456,1.26674,0.73064,1.05325,0.83846,0.73844,0.81805,0.41136,1.73906,0.9252,1.32948,0.005842,0.005842,0.005842
149,37654.4,1.28141,0.74615,1.06112,0.82335,0.7481,0.81471,0.4121,1.72452,0.91677,1.32154,0.00581371,0.00581371,0.00581371
150,37877,1.27042,0.73781,1.0629,0.82573,0.75224,0.82019,0.41408,1.72098,0.9068,1.32208,0.00578543,0.00578543,0.00578543
151,38094.8,1.25746,0.73796,1.05928,0.80339,0.76501,0.81613,0.41347,1.72691,0.92356,1.32067,0.00575714,0.00575714,0.00575714
152,38353.5,1.27821,0.74462,1.06026,0.81258,0.75293,0.81563,0.41199,1.74408,0.92148,1.32466,0.00572886,0.00572886,0.00572886
153,38590.5,1.26884,0.73432,1.06283,0.81015,0.75949,0.81867,0.41264,1.73408,0.93344,1.31858,0.00570057,0.00570057,0.00570057
154,38844.9,1.2651,0.73372,1.05819,0.82046,0.7506,0.82137,0.41493,1.73684,0.92746,1.31773,0.00567229,0.00567229,0.00567229
155,39062,1.27147,0.73808,1.06046,0.82464,0.745,0.81993,0.41487,1.73083,0.91604,1.31996,0.005644,0.005644,0.005644
156,39279.3,1.26185,0.72697,1.05654,0.80814,0.76745,0.82026,0.41691,1.7318,0.9197,1.3249,0.00561571,0.00561571,0.00561571
157,39482.3,1.27095,0.74157,1.05898,0.81052,0.76708,0.82293,0.41745,1.72882,0.92468,1.31567,0.00558743,0.00558743,0.00558743
158,39700.3,1.25907,0.72193,1.05412,0.80146,0.76708,0.81992,0.41373,1.74391,0.91499,1.32813,0.00555914,0.00555914,0.00555914
159,39904.3,1.24617,0.71756,1.05161,0.80413,0.7657,0.81775,0.41315,1.7361,0.92402,1.3287,0.00553086,0.00553086,0.00553086
160,40125,1.24768,0.71386,1.05216,0.83984,0.73644,0.8199,0.41483,1.73799,0.92823,1.32662,0.00550257,0.00550257,0.00550257
161,40336.4,1.24537,0.7239,1.05338,0.80841,0.75421,0.81912,0.41254,1.74234,0.92694,1.33054,0.00547429,0.00547429,0.00547429
162,40559.6,1.24589,0.71832,1.04845,0.80153,0.76881,0.82313,0.4158,1.73543,0.91421,1.32237,0.005446,0.005446,0.005446
163,40770.7,1.22636,0.70764,1.04369,0.82251,0.75957,0.82782,0.41771,1.74349,0.9073,1.33108,0.00541771,0.00541771,0.00541771
164,41002.9,1.23095,0.71791,1.04538,0.8182,0.7519,0.82581,0.41604,1.74132,0.91583,1.33337,0.00538943,0.00538943,0.00538943
165,41207.8,1.23281,0.71279,1.04414,0.83766,0.73359,0.82019,0.41619,1.73309,0.91637,1.32903,0.00536114,0.00536114,0.00536114
166,41426.8,1.22232,0.70277,1.03441,0.82527,0.74646,0.82097,0.41398,1.7366,0.91203,1.32901,0.00533286,0.00533286,0.00533286
167,41644.4,1.23719,0.70887,1.04162,0.82748,0.74148,0.82123,0.4145,1.73919,0.92021,1.32558,0.00530457,0.00530457,0.00530457
